"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"CNPJ ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0047-08";"SEARA ALIMENTOS LTDA";"02.914.460/0281-60";"OSASCO";"35250602914460028160550010000544441405651939";"0,00";"02/06/2025";"54444";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"25.944.455/0001-96";"MARTA VITORINO DA SILVA COMERCIO DE EQUIPAMENTOS DIDATICOS E";"31.971.029/0001-44";"SAO PAULO";"35250631971029000144550010000001151877302594";"0,00";"02/06/2025";"115";"1";
"Ministério da Defesa";"Fundo do Exército";"09.601.850/0002-09";"SOLUS COMERCIO DE MATERIAL MEDICO HOSPITALAR";"45.745.238/0001-84";"MANAUS";"13250645745238000184550010000006041611155634";"0,00";"02/06/2025";"604";"1";
"Ministério da Defesa";"Fundo do Exército";"09.601.850/0002-09";"SOLUS COMERCIO DE MATERIAL MEDICO HOSPITALAR";"45.745.238/0001-84";"MANAUS";"13250645745238000184550010000006051584405687";"0,00";"02/06/2025";"605";"1";
"Ministério da Defesa";"Fundo do Exército";"09.601.850/0002-09";"SOLUS COMERCIO DE MATERIAL MEDICO HOSPITALAR";"45.745.238/0001-84";"MANAUS";"13250645745238000184550010000006031207135778";"0,00";"02/06/2025";"603";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"25.944.455/0001-96";"MARTA VITORINO DA SILVA COMERCIO DE EQUIPAMENTOS DIDATICOS E";"31.971.029/0001-44";"SAO PAULO";"35250631971029000144550010000001141877308498";"0,00";"02/06/2025";"114";"1";
"Sem informação";"Sem informação";"00.394.502/0148-70";"NEW ORTHO COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA-EPP";"19.053.897/0001-40";"RIO DE JANEIRO";"33250619053897000140550010000062131573279357";"0,00";"02/06/2025";"6213";"1";
"Sem informação";"Sem informação";"00.394.502/0148-70";"NEW ORTHO COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA-EPP";"19.053.897/0001-40";"RIO DE JANEIRO";"33250619053897000140550010000062141189639153";"0,00";"02/06/2025";"6214";"1";
"Ministério da Defesa";"Comando do Exército";"09.577.042/0001-64";"TELEFONICA BRASIL S/A";"02.558.157/0132-21";"CAMPO GRANDE";"50250602558157013221550000005743831169990069";"0,00";"01/06/2025";"574383";"0";
"Ministério da Defesa";"Comando do Exército";"09.548.697/0001-04";"DISTRARMINDO ALIMENTOS LTDA";"34.558.525/0001-69";"MONTES CLAROS";"31250634558525000169550010000006091506838210";"0,00";"02/06/2025";"609";"1";
"Ministério da Saúde";"Fundação Oswaldo Cruz";"33.781.055/0001-35";"KHAYROS DIAGNOSTICA FABRICACAO COM E DIST DE PRODUTOS LTDA";"04.299.232/0001-43";"LEME";"35250604299232000143550010000029281000585641";"0,01";"02/06/2025";"2928";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"LAR COOPERATIVA AGROINDUSTRIAL";"77.752.293/0001-98";"MEDIANEIRA";"41250677752293000198550010004869981104209755";"0,01";"02/06/2025";"486998";"1";
"Ministério da Saúde";"Fundação Oswaldo Cruz";"33.781.055/0001-35";"KHAYROS DIAGNOSTICA FABRICACAO COM E DIST DE PRODUTOS LTDA";"04.299.232/0001-43";"LEME";"35250604299232000143550010000029291000585800";"0,01";"02/06/2025";"2929";"1";
"Ministério da Educação";"Universidade Federal de Lavras";"22.078.679/0001-74";"RESIDROX COMERCIO E REPRESENTAÇÕES LTDA";"13.400.548/0003-32";"COTIA";"35250613400548000332550010000207081000560020";"0,02";"02/06/2025";"20708";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"COASUL COOPERATIVA AGROINDUSTRIAL";"79.863.569/0038-22";"SAO JOAO";"41250679863569003822550010002655891337008367";"0,06";"02/06/2025";"265589";"1";
"Ministério da Ciência, Tecnologia e Inovação";"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"01.263.896/0005-98";"ORBITAL ENGENHARIA S.A.";"04.318.188/0001-71";"SAO JOSE DOS CAMPOS";"35250604318188000171550010000007271500009205";"0,08";"02/06/2025";"727";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"JAGUAFRANGOS IND E COM ALIM LTDA 28";"85.090.033/0025-08";"IPUACU";"42250685090033002508550010000180281999386359";"0,10";"02/06/2025";"18028";"1";
"Ministério da Defesa";"Fundo do Exército";"09.553.484/0002-51";"BIOPLASMA PROD P/LAB. E CORRELATOS LTDA-EPP";"04.086.552/0001-15";"BRASILIA";"53250604086552000115550010000614421633862133";"0,10";"02/06/2025";"61442";"1";
"Ministério da Educação";"Universidade Federal da Bahia";"15.180.714/0005-20";"BIOPLASMA PROD P/LAB. E CORRELATOS LTDA-EPP";"04.086.552/0001-15";"BRASILIA";"53250604086552000115550010000614731245318432";"0,10";"02/06/2025";"61473";"1";
"Ministério da Defesa";"Fundo do Exército";"09.576.937/0002-65";"BIOPLASMA PROD P/LAB. E CORRELATOS LTDA-EPP";"04.086.552/0001-15";"BRASILIA";"53250604086552000115550010000615031288105202";"0,10";"02/06/2025";"61503";"1";
"Sem informação";"Sem informação";"00.394.502/0063-47";"BRILHAR SERVICO TERCEIRIZADO LTDA";"10.648.254/0001-74";"CAMPO GRANDE";"50250610648254000174550010000011781625810570";"0,12";"02/06/2025";"1178";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"ZANCHETTA ALIMENTOS LTDA";"69.258.911/0004-62";"BOITUVA";"35250669258911000462550410020931031920466285";"0,21";"02/06/2025";"2093103";"41";
"Ministério da Defesa";"Fundo do Exército";"09.632.026/0002-08";"INOVE SERVICOS TERCEIRIZADOS LTDA";"25.245.628/0001-88";"CAMPO GRANDE";"50250625245628000188550010000014841675412734";"0,24";"02/06/2025";"1484";"1";
"Ministério da Defesa";"Fundo do Exército";"09.576.937/0002-65";"BIOPLASMA PROD P/LAB. E CORRELATOS LTDA-EPP";"04.086.552/0001-15";"BRASILIA";"53250604086552000115550010000615201408480782";"0,40";"02/06/2025";"61520";"1";
"Ministério da Ciência, Tecnologia e Inovação";"Comissão Nacional de Energia Nuclear";"00.402.552/0007-11";"BOSTON ELECTROMETALLURGICAL CORPORATION BRASIL LTDA.";"47.397.699/0001-39";"CORONEL XAVIER CHAVES";"31250647397699000139550010000009021291632015";"0,45";"02/06/2025";"902";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0073-08";"FORTUNCERES S A";"52.168.923/0012-03";"PONTES E LACERDA";"51250652168923001203550010000008491000019807";"0,49";"02/06/2025";"849";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"BRF S.A.";"01.838.723/0188-40";"JATAI";"52250601838723018840550020002363471374275508";"0,50";"02/06/2025";"236347";"2";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0047-08";"JBS AVES LTDA";"08.199.996/0007-03";"MONTENEGRO";"43250608199996000703556020008469521414908076";"0,50";"02/06/2025";"846952";"602";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0073-08";"FORTUNCERES S A";"52.168.923/0012-03";"PONTES E LACERDA";"51250652168923001203550010000008481000019796";"0,50";"02/06/2025";"848";"1";
"Ministério da Educação";"Universidade Federal do Rio de Janeiro";"33.663.683/0027-55";"STEPAN QUIMICA LTDA";"01.898.598/0002-21";"VESPASIANO";"31250601898598000221550020000899581732534184";"0,50";"02/06/2025";"89958";"2";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"PAMPLONA ALIMENTOS S/A";"85.782.878/0024-75";"PRESIDENTE GETULIO";"42250685782878002475550010002146551901702450";"0,57";"02/06/2025";"214655";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0047-08";"CAJUCOCO AQUA. E AGROIND. LTDA";"41.556.044/0003-41";"ITAREMA";"23250641556044000341550010000432081876490729";"0,81";"02/06/2025";"43208";"1";
"Ministério da Ciência, Tecnologia e Inovação";"Comissão Nacional de Energia Nuclear";"00.402.552/0007-11";"BOSTON ELECTROMETALLURGICAL CORPORATION BRASIL LTDA.";"47.397.699/0001-39";"CORONEL XAVIER CHAVES";"31250647397699000139550010000009001145113179";"0,90";"02/06/2025";"900";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299321887622950";"1,00";"02/06/2025";"29932";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"SEARA ALIMENTOS LTDA";"02.914.460/0285-94";"SAO JOSE";"42250602914460028594550010007300351830166718";"1,00";"02/06/2025";"730035";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299481891277162";"1,00";"02/06/2025";"29948";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"SEARA ALIMENTOS LTDA";"02.914.460/0282-41";"CAMPO MOURAO";"41250602914460028241550010001118791591369200";"1,00";"02/06/2025";"111879";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0047-08";"SEARA ALIMENTOS LTDA";"02.914.460/0282-41";"CAMPO MOURAO";"41250602914460028241550010001118811788388080";"1,00";"02/06/2025";"111881";"1";
"Ministério da Educação";"Universidade Federal dos Vales do Jequitinhonha e Mucuri";"16.888.315/0001-57";"UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI";"16.888.315/0001-57";"DIAMANTINA";"31250616888315000157550010000023991100023999";"1,00";"02/06/2025";"2399";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0030-60";"FRIGORIFICO FRIELLA LTDA";"40.727.874/0001-60";"SAO MIGUEL DO IGUACU";"41250640727874000160550010001922051005062230";"1,00";"02/06/2025";"192205";"1";
"Ministério da Educação";"Fundação Universidade Federal do Mato Grosso do Sul";"15.461.510/0001-33";"POLYTRADE INDUSTRIA E COMERCIO LTDA";"01.337.269/0001-20";"CURITIBA";"41250601337269000120550010000029161230262265";"1,00";"02/06/2025";"2916";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299431890805100";"1,00";"02/06/2025";"29943";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299301887429145";"1,00";"02/06/2025";"29930";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299161885848583";"1,00";"02/06/2025";"29916";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299471891199512";"1,00";"02/06/2025";"29947";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299411890624461";"1,00";"02/06/2025";"29941";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299211886375964";"1,00";"02/06/2025";"29921";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299201886281962";"1,00";"02/06/2025";"29920";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299271887043748";"1,00";"02/06/2025";"29927";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299461891109753";"1,00";"02/06/2025";"29946";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299191886199050";"1,00";"02/06/2025";"29919";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"JBS SA";"02.916.265/0024-56";"ITURAMA";"31250602916265002456550010009739601140198749";"1,00";"02/06/2025";"973960";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299171886014268";"1,00";"02/06/2025";"29917";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299501891445411";"1,00";"02/06/2025";"29950";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299421890703709";"1,00";"02/06/2025";"29942";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299311887523157";"1,00";"02/06/2025";"29931";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"FRIGORIFICO FRIELLA LTDA";"40.727.874/0001-60";"SAO MIGUEL DO IGUACU";"41250640727874000160550010001922041005062020";"1,00";"02/06/2025";"192204";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0073-08";"SEARA ALIMENTOS LTDA";"02.914.460/0205-00";"BRASILIA";"53250602914460020500550010004936341387977206";"1,00";"02/06/2025";"493634";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"SEARA ALIMENTOS LTDA";"02.914.460/0282-41";"CAMPO MOURAO";"41250602914460028241550010001118801840996378";"1,00";"02/06/2025";"111880";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299351887907825";"1,00";"02/06/2025";"29935";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"FRIGORIFICO FRIELLA LTDA";"40.727.874/0001-60";"SAO MIGUEL DO IGUACU";"41250640727874000160550010001921701005053803";"1,00";"02/06/2025";"192170";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"PRIMA FOODS S.A.";"16.820.052/0001-44";"ARAGUARI";"31250616820052000144550060007625491868062864";"1,00";"02/06/2025";"762549";"6";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0047-08";"SEARA ALIMENTOS LTDA";"02.914.460/0018-07";"SEARA";"42250602914460001807550010011048801539533815";"1,00";"02/06/2025";"1104880";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299631952141865";"1,00";"03/06/2025";"29963";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299541951184880";"1,00";"03/06/2025";"29954";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"SEARA ALIMENTOS LTDA";"02.914.460/0012-03";"ITAPIRANGA";"42250602914460001203550010004372791516645036";"1,00";"02/06/2025";"437279";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299221886464840";"1,00";"02/06/2025";"29922";"1";
"Ministério da Defesa";"Fundo do Exército";"09.576.937/0002-65";"BIOPLASMA PROD P/LAB. E CORRELATOS LTDA-EPP";"04.086.552/0001-15";"BRASILIA";"53250604086552000115550010000614431253238770";"1,00";"02/06/2025";"61443";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"FRIGORIFICO CRISTAL S.A";"19.580.222/0001-59";"CAXIAS DO SUL";"43250619580222000159550050000213171526064850";"1,05";"02/06/2025";"21317";"5";
"Ministério da Defesa";"Comando da Marinha";"00.394.502/0529-69";"ALUM INDUSTRIA E COMERCIO DE INSUMOS PARA FUNDICAO LTDA";"17.672.433/0001-96";"SALTO";"35250617672433000196550010000114501634600386";"1,07";"02/06/2025";"11450";"1";
"Ministério da Educação";"Fundação Universidade de Brasília";"00.038.174/0001-43";"BASF SA - SANTO ANTONIO DE POSSE";"48.539.407/0034-86";"SANTO ANTONIO DE POSSE";"35250648539407003486550010000244591447894951";"1,08";"02/06/2025";"24459";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004522661993380460";"1,10";"02/06/2025";"452266";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004522861323605731";"1,10";"02/06/2025";"452286";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004523941805581296";"1,10";"02/06/2025";"452394";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004522581719301505";"1,10";"02/06/2025";"452258";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004523761175889264";"1,10";"02/06/2025";"452376";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004526101233321380";"1,10";"02/06/2025";"452610";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"CAJUCOCO AQUA. E AGROIND. LTDA";"41.556.044/0003-41";"ITAREMA";"23250641556044000341550010000432091381457090";"1,42";"02/06/2025";"43209";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"FRIGOSUL - FRIGORIFICO SUL LTDA";"02.591.772/0001-70";"APARECIDA DO TABOADO";"50250602591772000170550010004610451232269860";"1,50";"02/06/2025";"461045";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"LACTICÍNIOS TIROL LTDA";"83.011.247/0027-70";"BOA VISTA DO BURICA";"43250683011247002770550080001027811593413132";"1,50";"02/06/2025";"102781";"8";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0047-08";"FRIGORIFICO FRIGOMENDES LTDA";"28.311.385/0003-99";"NOVA LONDRINA";"41250628311385000399550020000439121017440969";"2,00";"02/06/2025";"43912";"2";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"COOP CENTRAL GAUCHA LTDA";"88.933.114/0036-65";"SARANDI";"43250688933114003665551450000056741507993409";"2,00";"02/06/2025";"5674";"145";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299621952047640";"2,00";"03/06/2025";"29962";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299491891369463";"2,00";"02/06/2025";"29949";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"FRIGORIFICO FRIGOMENDES LTDA";"28.311.385/0003-99";"NOVA LONDRINA";"41250628311385000399550020000439111389899320";"2,00";"02/06/2025";"43911";"2";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299291887352818";"2,00";"02/06/2025";"29929";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"SEARA ALIMENTOS LTDA";"02.914.460/0192-50";"AMPARO";"35250602914460019250550010002806471427537153";"2,00";"02/06/2025";"280647";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"FRIGORIFICO FRIGOMENDES LTDA";"28.311.385/0003-99";"NOVA LONDRINA";"41250628311385000399550020000439101015334695";"2,00";"02/06/2025";"43910";"2";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299681952735834";"2,00";"03/06/2025";"29968";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"SEARA ALIMENTOS LTDA";"02.914.460/0018-07";"SEARA";"42250602914460001807550010011048811329652017";"2,00";"02/06/2025";"1104881";"1";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0183-10";"HOSPLIVE DISTRIBUIDORA DE MATERIAIS HOSPITALARES";"46.321.558/0001-70";"SANTA MARIA";"43250646321558000170550010000042681234780989";"2,00";"02/06/2025";"4268";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299691952880700";"2,00";"03/06/2025";"29969";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"COPERAGUAS COOPERATIVA AGROINDUSTRIAL";"04.463.344/0001-98";"AGUAS FRIAS";"42250604463344000198550020000774951009908204";"2,00";"02/06/2025";"77495";"2";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299671952659251";"2,00";"03/06/2025";"29967";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004526081574209263";"2,10";"02/06/2025";"452608";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004522941604009255";"2,10";"02/06/2025";"452294";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004523041233557843";"2,10";"02/06/2025";"452304";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004522641051705874";"2,10";"02/06/2025";"452264";"1";
"Sem informação";"Sem informação";"00.394.502/0063-47";"BRILHAR SERVICO TERCEIRIZADO LTDA";"10.648.254/0001-74";"CAMPO GRANDE";"50250610648254000174550010000011771176194560";"2,11";"02/06/2025";"1177";"1";
"Ministério da Educação";"Universidade Federal de Goiás";"01.567.601/0001-43";"MINERVA S A";"67.620.377/0004-67";"PALMEIRAS DE GOIAS";"52250667620377000467550010006045511013232185";"2,16";"02/06/2025";"604551";"1";
"Ministério da Educação";"Universidade Federal de Goiás";"01.567.601/0001-43";"MINERVA S A";"67.620.377/0004-67";"PALMEIRAS DE GOIAS";"52250667620377000467550010006045531013232643";"2,16";"02/06/2025";"604553";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004522701830686139";"2,20";"02/06/2025";"452270";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004522621972437080";"2,20";"02/06/2025";"452262";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004524581892861100";"2,20";"02/06/2025";"452458";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004522981432366763";"2,20";"02/06/2025";"452298";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004522881449803014";"2,20";"02/06/2025";"452288";"1";
