"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"CNPJ ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Defesa";"Comando do Exército";"10.197.253/0001-50";"D F S DE MELO LOPES - ME";"30.223.908/0001-25";"RECIFE";"26250630223908000125550010000015881692667002";"250,00";"02/06/2025";"1588";"1";
"Ministério da Defesa";"Comando do Exército";"10.276.325/0001-55";"REFISERVI REFEICOES INDUSTRIAIS LTDA";"73.373.243/0001-49";"RIO DE JANEIRO";"33250673373243000149550010000718701946069007";"250,00";"02/06/2025";"71870";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0062-47";"KORIN AGROPECUARIA LTDA";"00.153.705/0003-00";"IPEUNA";"35250600153705000300550030012829131422864450";"250,00";"02/06/2025";"1282913";"3";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"00.394.494/0038-28";"GALVAO & GUIMARAES LTDA";"34.748.632/0001-50";"JI-PARANA";"11250634748632000150550010000022781739900403";"250,00";"02/06/2025";"2278";"1";
"Ministério da Defesa";"Comando do Exército";"09.553.075/0001-74";"ALMADO COMERCIO DE PLACAS LTDA";"08.653.971/0001-42";"PORTO ALEGRE";"43250608653971000142551010000056891153442444";"250,00";"02/06/2025";"5689";"101";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0045-46";"SEARA ALIMENTOS LTDA";"02.914.460/0318-97";"SEBERI";"43250602914460031897550010002346131716676279";"250,00";"02/06/2025";"234613";"1";
"Sem informação";"Sem informação";"00.394.502/0126-65";"REFISERVI REFEICOES INDUSTRIAIS LTDA";"73.373.243/0001-49";"RIO DE JANEIRO";"33250673373243000149550010000718911911530107";"250,00";"02/06/2025";"71891";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"00.394.494/0077-34";"POSTO DE SERVICOS AZTECA LTDA - MTZ";"77.088.474/0001-61";"FOZ DO IGUACU";"41250677088474000161550050000113681176647290";"250,00";"02/06/2025";"11368";"5";
"Ministério da Saúde";"Fundação Nacional de Saúde";"26.989.350/0023-21";"PANDA AUTO POSTO LTDA";"03.222.765/0007-50";"NOVA LARANJEIRAS";"41250603222765000750550010000007451854520797";"250,05";"02/06/2025";"745";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais";"10.727.655/0003-81";"DF COMERCIO E SERVICOS LTDA";"45.644.476/0001-01";"PIRACICABA";"35250645644476000101550010000010551224448999";"250,14";"02/06/2025";"1055";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"00.394.494/0039-09";"POSTO MIME S.A. FL 48";"83.488.882/0049-58";"LAGES";"42250683488882004958550080000232831003795084";"250,25";"02/06/2025";"23283";"8";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"10.635.424/0002-67";"MEDMED COMERCIO MATERIAIS HOSPITALARES LTDA";"34.064.557/0001-08";"ITAPEMA";"42250634064557000108550010000168681913941766";"250,75";"03/06/2025";"16868";"1";
"Ministério da Educação";"Universidade Federal de São Paulo";"60.453.032/0001-74";"PINEX COMERCIAL IMPORTADORA E SERVICOS - EPP";"15.448.112/0001-87";"SAO PAULO";"35250615448112000187550010000401471267627933";"250,92";"03/06/2025";"40147";"1";
"Ministério do Trabalho e Emprego";"Ministério do Trabalho e Emprego - Unidades com vínculo direto";"23.612.685/0014-47";"VILASBOAS E MEIRELLES LTDA";"13.746.980/0001-18";"OURILANDIA DO NORTE";"15250613746980000118550010000211641268519750";"251,35";"02/06/2025";"21164";"1";
"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"00.394.544/0050-63";"AUTO POSTO REZENDAO LTDA";"24.503.991/0001-93";"CAMPINAPOLIS";"51250624503991000193550010000475841633610520";"251,66";"02/06/2025";"47584";"1";
"Ministério da Educação";"Fundação Universidade Federal do Amapá";"34.868.257/0001-81";"FORTE COMPANY COMERCIO & SERVICOS LTDA";"44.795.478/0001-20";"MAZAGÃO";"16250644795478000120550010000001161974523487";"252,00";"02/06/2025";"116";"1";
"Ministério da Educação";"Universidade Federal de Ouro Preto";"23.070.659/0001-10";"MERSE ARTIGOS PARA LABORATORIOS LTDA.";"68.877.752/0001-79";"CAMPINAS";"35250668877752000179550020003097101133708130";"252,00";"02/06/2025";"309710";"2";
"Sem informação";"Sem informação";"00.394.502/0065-09";"SUPPLY VITAL LTDA";"37.539.851/0001-17";"RIO DE JANEIRO";"33250637539851000117550010000036161778621987";"252,60";"02/06/2025";"3616";"1";
"Ministério da Defesa";"Comando do Exército";"09.576.614/0001-90";"FERGAVI COMERCIAL LTDA EPP";"14.968.227/0001-30";"SAO PAULO";"35250614968227000130550010000164481506400705";"253,00";"02/06/2025";"16448";"1";
"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"00.394.544/0050-63";"AUTO POSTO REZENDAO LTDA";"24.503.991/0001-93";"CAMPINAPOLIS";"51250624503991000193550010000475591997025826";"253,36";"01/06/2025";"47559";"1";
"Ministério da Defesa";"Comando do Exército";"09.547.459/0001-84";"LALUH COM. DE PAPELARIA E REPR. COMERCIAIS LTDA";"27.084.275/0001-07";"CAMPOS NOVOS";"42250627084275000107550010000024591774428784";"253,37";"02/06/2025";"2459";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso";"10.784.782/0002-31";"WA EQUIPAMENTOS E SERVICOS LTDA";"09.238.496/0003-72";"CUIABA (MT)";"51250609238496000372550010000854191500431810";"253,38";"02/06/2025";"85419";"1";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0074-80";"MCM COMERCIO DE DERIVADOS DE PETROLEO LTDA";"97.486.534/0001-01";"PALMAS";"17250697486534000101550020000972441027578909";"254,02";"02/06/2025";"97244";"2";
"Ministério da Educação";"Fundação Universidade Federal do Acre";"04.071.106/0001-37";"A E S DERIVADO DE PETROLEO EIRELI";"15.112.947/0001-61";"RIO BRANCO";"12250615112947000161550010000474551271848425";"254,37";"02/06/2025";"47455";"1";
"Ministério da Educação";"Universidade Federal do Rio Grande do Sul";"92.969.856/0001-98";"BRONDANI AUTO PECAS LTDA 0001";"00.664.942/0001-74";"PORTO ALEGRE";"43250600664942000174550020003110661053326411";"254,63";"02/06/2025";"311066";"2";
"Ministério da Defesa";"Comando do Exército";"10.199.860/0001-50";"NOVI GAMING COMERCIO DE PRODUTOS PARA INFORMATICA LTDA";"41.786.083/0001-73";"BRASILIA";"53250641786083000173550010000056571244171924";"254,85";"02/06/2025";"5657";"1";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"ELIEU VILELA";"***.660.239-**";"ORTIGUEIRA";"41250678393592000146558900029366331942995939";"254,96";"02/06/2025";"2936633";"890";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"ELIEU VILELA";"***.660.239-**";"ORTIGUEIRA";"41250678393592000146558900029351731689658546";"254,96";"02/06/2025";"2935173";"890";
"Ministério da Defesa";"Comando do Exército";"09.616.119/0001-68";"CCS VALENTE COM. DE GENEROS ALIMENTICIOS - ME";"09.031.962/0001-82";"RIO DE JANEIRO";"33250609031962000182550010000583841806816440";"255,75";"02/06/2025";"58384";"1";
"Ministério da Defesa";"Comando do Exército";"10.495.077/0001-33";"MARIA EDUARDA NASCIMENTO DAMASCENO";"51.423.189/0001-66";"SALVADOR";"29250651423189000166550010000003761063450774";"256,15";"01/06/2025";"376";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul";"10.637.926/0003-08";"CIA ZAFFARI COM E IND - LOJA 17";"93.015.006/0028-33";"PORTO ALEGRE";"43250693015006002833550420000078561408475062";"256,42";"02/06/2025";"7856";"42";
"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"00.394.544/0213-44";"TARGET MEDICAMENTOS E PROD.HOSPITALARES LTDA";"52.969.017/0001-55";"SAO JOAO DE MERITI";"33250652969017000155550010000051291106624746";"256,60";"02/06/2025";"5129";"1";
"Ministério da Educação";"Universidade Federal dos Vales do Jequitinhonha e Mucuri";"16.888.315/0001-57";"DF MAQUINAS E FERRAMENTAS LTDA";"21.793.208/0001-85";"BRASILIA";"53250621793208000185550010000049831119399297";"256,95";"02/06/2025";"4983";"1";
"Ministério da Educação";"Universidade Federal de Alfenas";"17.879.859/0001-15";"A2XR COMERCIAL LTDA";"50.591.089/0001-86";"SANTO ANTONIO DA PLATINA";"41250650591089000186550010000017011785875010";"257,60";"02/06/2025";"1701";"1";
"Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Instituto Nacional de Colonização e Reforma Agrária";"00.375.972/0014-85";"JVS DE FREITAS";"27.727.580/0001-70";"MANAUS";"13250627727580000170550010000001011760384871";"258,00";"02/06/2025";"101";"1";
"Ministério da Educação";"Fundação Universidade Federal do Mato Grosso do Sul";"15.461.510/0001-33";"ÂMBARLAB PRODUTOS LABORATORIAIS LTDA";"80.243.769/0001-70";"ARAUCÁRIA";"41250680243769000170550010000025981002075137";"258,56";"02/06/2025";"2598";"1";
"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"00.394.544/0036-05";"021 - 204 SUL CASCOL COMBUSTIVEIS PARA VEICULOS LTDA";"00.306.597/0021-40";"BRASILIA";"53250600306597002140550230000064911005178805";"258,75";"02/06/2025";"6491";"23";
"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"00.394.544/0036-05";"19 - 303 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA";"00.306.597/0019-26";"BRASILIA";"53250600306597001926550230000068271004456035";"259,08";"02/06/2025";"6827";"23";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004518671540167530";"259,16";"02/06/2025";"451867";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"10.635.424/0001-86";"ADEBLU COM.ACES.MOV.LTDA - PIX 72237233000113";"72.237.233/0001-13";"BLUMENAU";"42250672237233000113550030002399361378372452";"259,40";"02/06/2025";"239936";"3";
"Ministério da Educação";"Fundação Universidade Federal do Mato Grosso do Sul";"15.461.510/0001-33";"COPA ENERGIA S.A.";"03.237.583/0048-20";"CAMPO GRANDE";"50250603237583004820550010008394931601169654";"259,94";"02/06/2025";"839493";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul";"10.637.926/0003-08";"SOLAR COMERCIO E AGROINDUSTRIA LTDA";"91.362.590/0004-09";"SALVADOR DO SUL";"43250691362590000409550000006969951861010106";"260,00";"02/06/2025";"696995";"0";
